Venue,Date,Time,Party Size,Status,Source,Guest Name,Visit Count,Lifetime Spend,Tags,Wait Time (min),No Show
"La Mona Rosa",2025-10-09,19:00,4,Completed,Instagram,"James Rodriguez",5,1833,"",0,No
"Doberman Drawing Room",2025-10-09,21:00,3,No Show,Phone,"Amanda Hill",9,3484,"Regular; VIP",0,Yes
"Doberman Drawing Room",2025-10-09,22:00,3,Completed,Concierge,"Rachel Young",2,790,"",0,No
"Doberman Drawing Room",2025-10-09,18:00,3,Completed,Concierge,"Carlos Mitchell",1,621,"First Timer; Regular",0,No
"Doberman Drawing Room",2025-10-09,17:00,4,Completed,Phone,"Maria Young",1,747,"First Timer",0,No
"Doberman Drawing Room",2025-10-09,17:00,3,Completed,Google,"Jennifer Anderson",3,1294,"Regular",0,No
"Doberman Drawing Room",2025-10-09,22:30,4,Completed,Phone,"Kayla Turner",3,1937,"",0,No
"Doberman Drawing Room",2025-10-09,18:00,3,Completed,SevenRooms,"Stephanie Hill",2,876,"",0,No
"Doberman Drawing Room",2025-10-09,18:30,2,Completed,Google,"Brandon Hall",2,702,"",0,No
"Doberman Drawing Room",2025-10-09,18:00,4,Completed,Concierge,"Nicole Carter",10,7963,"Regular; VIP",0,No
"Doberman Drawing Room",2025-10-09,23:00,2,Completed,Instagram,"Michael Clark",3,1220,"",0,No
"Doberman Drawing Room",2025-10-09,17:30,2,Completed,Instagram,"Derek Hall",2,705,"",0,No
"Doberman Drawing Room",2025-10-09,17:00,4,Completed,Walk-in,"Michael Perez",3,2492,"VIP",5,No
"Doberman Drawing Room",2025-10-09,17:00,3,No Show,Concierge,"Jennifer Turner",10,3860,"Regular; VIP",0,Yes
"We All Scream",2025-10-09,22:30,7,Completed,Phone,"Robert Phillips",10,5973,"Regular; VIP",0,No
"We All Scream",2025-10-09,23:30,7,Completed,SevenRooms,"Chase Smith",6,4899,"Regular; VIP; Industry",0,No
"We All Scream",2025-10-09,22:00,4,Completed,Instagram,"Sarah Davis",2,716,"",0,No
"We All Scream",2025-10-09,19:30,6,Cancelled,Phone,"Megan Walker",3,1586,"",0,No
"We All Scream",2025-10-09,18:30,4,Completed,Google,"Nicole Garcia",1,271,"First Timer",0,No
"We All Scream",2025-10-09,23:30,6,Completed,Walk-in,"Tyler Smith",2,1290,"",30,No
"We All Scream",2025-10-09,21:00,3,Completed,Google,"Amanda Allen",3,895,"",0,No
"We All Scream",2025-10-09,18:30,6,Completed,Concierge,"Tyler Roberts",1,579,"First Timer",0,No
"We All Scream",2025-10-09,21:30,7,Completed,Google,"Tyler Wright",2,1181,"Bachelor/ette",0,No
"We All Scream",2025-10-09,22:30,5,Completed,Phone,"Carlos Walker",11,5503,"Regular; VIP",0,No
"We All Scream",2025-10-09,20:00,4,Completed,SevenRooms,"Carlos Wilson",1,340,"First Timer",0,No
"Discopussy",2025-10-09,23:30,4,Completed,Phone,"Maria Wright",2,578,"",0,No
"Discopussy",2025-10-09,20:30,4,Completed,Walk-in,"Samantha Brown",3,1190,"",20,No
"Discopussy",2025-10-09,19:00,3,Completed,SevenRooms,"Travis Johnson",2,644,"",0,No
"Discopussy",2025-10-09,17:30,5,Completed,Concierge,"Brandon Anderson",7,4248,"Regular; VIP",0,No
"Discopussy",2025-10-09,22:00,5,No Show,Phone,"Ryan Anderson",6,3595,"Regular; VIP; Date Night",0,Yes
"Discopussy",2025-10-09,17:30,6,Completed,Google,"Jennifer King",6,4029,"Regular; VIP",0,No
"Discopussy",2025-10-09,20:30,4,Completed,Concierge,"Jordan Harris",12,5656,"Regular; VIP",0,No
"Discopussy",2025-10-09,23:00,6,Cancelled,Phone,"Rachel Phillips",7,2997,"Regular; VIP",0,No
"The Laundry Room",2025-10-10,23:00,3,Completed,SevenRooms,"Stephanie Mitchell",2,865,"",0,No
"The Laundry Room",2025-10-10,23:00,3,Completed,SevenRooms,"Chase Green",3,1848,"",0,No
"The Laundry Room",2025-10-10,18:30,2,Completed,Instagram,"Jennifer Young",8,2653,"Regular; VIP; Local",0,No
"The Laundry Room",2025-10-10,17:00,2,Completed,Concierge,"Brittany Allen",2,705,"High Roller",0,No
"The Laundry Room",2025-10-10,23:00,2,Completed,Phone,"Brandon Robinson",1,350,"First Timer",0,No
"The Laundry Room",2025-10-10,17:30,2,Completed,Google,"Carlos Garcia",1,465,"First Timer",0,No
"The Laundry Room",2025-10-10,17:30,2,Completed,SevenRooms,"Amanda Lee",2,598,"",0,No
"The Laundry Room",2025-10-10,17:00,3,Completed,Phone,"Kayla King",2,1185,"",0,No
"The Laundry Room",2025-10-10,17:30,2,Completed,Instagram,"Samantha Johnson",3,1089,"",0,No
"The Laundry Room",2025-10-10,22:00,3,Completed,Google,"Michael Anderson",2,806,"Industry",0,No
"The Laundry Room",2025-10-10,20:00,3,Completed,Concierge,"Jordan Green",2,1105,"",0,No
"The Laundry Room",2025-10-10,18:00,3,Completed,Walk-in,"Jennifer Martinez",8,3348,"Regular; VIP",0,No
"Commonwealth",2025-10-10,21:00,4,Completed,Walk-in,"Brandon Baker",10,4301,"Regular; VIP",18,No
"Commonwealth",2025-10-10,23:30,5,Completed,SevenRooms,"Maria Scott",2,837,"",0,No
"Commonwealth",2025-10-10,20:00,4,Completed,SevenRooms,"Megan Anderson",10,3970,"Regular; VIP",0,No
"Commonwealth",2025-10-10,19:00,4,Completed,Google,"Ashley Martinez",2,810,"",0,No
"Commonwealth",2025-10-10,21:30,4,Completed,Phone,"Stephanie Rodriguez",11,4270,"Regular; VIP",0,No
"Commonwealth",2025-10-10,19:00,4,Completed,Instagram,"Robert Clark",3,1363,"Date Night",0,No
"Commonwealth",2025-10-10,19:30,4,Completed,Instagram,"Austin Perez",6,1598,"Regular",0,No
"Commonwealth",2025-10-10,23:00,5,Cancelled,Google,"Ashley Clark",3,1398,"",0,No
"Commonwealth",2025-10-10,17:00,3,Completed,Concierge,"Samantha Baker",2,592,"VIP",0,No
"Commonwealth",2025-10-10,20:00,5,No Show,Google,"Jennifer Garcia",2,910,"",0,Yes
"Commonwealth",2025-10-10,19:30,5,Completed,Concierge,"Amanda Rodriguez",10,5877,"Regular; VIP",0,No
"Commonwealth",2025-10-10,18:00,5,Completed,Concierge,"Brittany Clark",1,376,"First Timer",0,No
"Commonwealth",2025-10-10,19:00,3,No Show,Phone,"James Harris",2,680,"High Roller",0,Yes
"Commonwealth",2025-10-10,20:00,3,Completed,SevenRooms,"Chase Green",6,1990,"Regular",0,No
"Commonwealth",2025-10-10,17:30,5,Completed,Phone,"James Allen",6,3628,"Regular; VIP",0,No
"Commonwealth",2025-10-10,17:00,4,Cancelled,Google,"Tyler Smith",3,1384,"",0,No
"Commonwealth",2025-10-10,23:30,2,Completed,Phone,"Derek Walker",2,455,"",0,No
"Commonwealth",2025-10-10,19:30,3,Completed,Instagram,"Kayla Clark",2,680,"",0,No
"Commonwealth",2025-10-10,21:30,4,No Show,Phone,"Rachel Carter",2,577,"",0,Yes
"Commonwealth",2025-10-10,19:00,5,Completed,Phone,"Lauren Rodriguez",1,403,"First Timer",0,No
"Commonwealth",2025-10-10,23:00,4,No Show,SevenRooms,"Ashley Phillips",1,409,"First Timer",0,Yes
"Commonwealth",2025-10-10,22:00,4,Completed,Phone,"Lauren Martinez",9,3012,"Regular; VIP",0,No
"Commonwealth",2025-10-10,20:30,3,Completed,Concierge,"Nicole Garcia",1,204,"First Timer",0,No
"Commonwealth",2025-10-10,21:00,4,Completed,Concierge,"Travis Young",3,1454,"",0,No
"Commonwealth",2025-10-10,21:00,4,Cancelled,Phone,"Derek Thomas",7,2636,"Regular; VIP",0,No
"Park On Fremont",2025-10-10,21:00,4,Completed,Phone,"Marcus Walker",3,1376,"",0,No
"Park On Fremont",2025-10-10,22:30,3,Completed,SevenRooms,"Ashley Baker",11,2197,"Regular; VIP; High Roller",0,No
"Park On Fremont",2025-10-10,20:00,4,Completed,SevenRooms,"Tyler Brown",1,353,"First Timer",0,No
"Park On Fremont",2025-10-10,20:30,2,Completed,Phone,"Alexis Green",5,834,"Industry",0,No
"Park On Fremont",2025-10-10,21:30,4,Completed,Instagram,"Jake Carter",8,2518,"Regular; VIP",0,No
"Park On Fremont",2025-10-10,21:30,4,Completed,Google,"Jordan Lewis",2,895,"VIP",0,No
"Park On Fremont",2025-10-10,19:30,3,Completed,Phone,"Sarah Hall",4,1372,"First Timer",0,No
"Park On Fremont",2025-10-10,20:00,2,Completed,Phone,"Maria Garcia",1,204,"First Timer",0,No
"Park On Fremont",2025-10-10,20:00,2,Completed,Walk-in,"Amanda Rodriguez",2,419,"",11,No
"Park On Fremont",2025-10-10,20:00,4,Completed,Phone,"Michael Mitchell",2,628,"",0,No
"Park On Fremont",2025-10-10,18:30,2,Completed,Phone,"Megan Wright",4,621,"Bachelor/ette",0,No
"Park On Fremont",2025-10-10,23:00,4,Completed,Google,"Austin Hall",1,372,"First Timer",0,No
"Park On Fremont",2025-10-10,22:00,3,Completed,Google,"Alexis Hill",3,658,"",0,No
"Park On Fremont",2025-10-10,22:30,4,Completed,Phone,"Jordan Walker",3,1161,"",0,No
"Park On Fremont",2025-10-10,20:00,3,Completed,Walk-in,"Alexis Green",10,2480,"Regular; VIP",17,No
"Park On Fremont",2025-10-10,23:30,4,Completed,Instagram,"Jessica Davis",4,1296,"",0,No
"Park On Fremont",2025-10-10,18:30,3,Completed,Concierge,"Lauren Rodriguez",2,504,"",0,No
"Park On Fremont",2025-10-10,21:00,3,Cancelled,Instagram,"Sarah King",3,763,"",0,No
"Park On Fremont",2025-10-10,21:00,3,Completed,Google,"Michael Young",2,549,"Influencer",0,No
"Park On Fremont",2025-10-10,21:30,5,Completed,Concierge,"Megan Carter",9,4437,"Regular; VIP",0,No
"Park On Fremont",2025-10-10,17:30,3,Completed,Concierge,"Jennifer Smith",2,536,"",0,No
"Park On Fremont",2025-10-10,18:30,4,Completed,SevenRooms,"Derek Johnson",6,2248,"Regular; VIP",0,No
"Park On Fremont",2025-10-10,19:30,4,Completed,Concierge,"Megan Turner",3,1289,"",0,No
"Park On Fremont",2025-10-10,17:00,4,Completed,Google,"Jordan Nelson",1,346,"First Timer",0,No
"Park On Fremont",2025-10-10,20:00,4,Completed,Walk-in,"Jake Carter",9,3076,"Regular; VIP",17,No
"Park On Fremont",2025-10-10,21:30,3,Cancelled,Google,"Derek Harris",9,3050,"Regular; VIP",0,No
"Park On Fremont",2025-10-10,18:30,3,Completed,Walk-in,"James Nelson",2,498,"",27,No
"Park On Fremont",2025-10-10,18:00,4,Cancelled,Walk-in,"Marcus Thomas",3,1250,"",20,No
"La Mona Rosa",2025-10-10,19:00,5,Completed,Instagram,"David Green",1,585,"First Timer",0,No
"La Mona Rosa",2025-10-10,20:30,5,Completed,Phone,"Brandon Martinez",6,2184,"Regular; VIP",0,No
"La Mona Rosa",2025-10-10,21:00,4,Completed,Instagram,"Megan Brown",2,978,"",0,No
"La Mona Rosa",2025-10-10,23:00,2,Completed,SevenRooms,"Derek Scott",2,401,"First Timer",0,No
"La Mona Rosa",2025-10-10,19:00,4,Completed,Walk-in,"James Martinez",1,376,"First Timer",12,No
"La Mona Rosa",2025-10-10,21:00,4,Completed,Google,"Travis Perez",2,660,"",0,No
"La Mona Rosa",2025-10-10,21:30,5,Completed,Concierge,"Michael Walker",2,1090,"",0,No
"La Mona Rosa",2025-10-10,19:30,5,Completed,Walk-in,"Travis Mitchell",3,1326,"VIP",18,No
"La Mona Rosa",2025-10-10,17:30,3,Completed,SevenRooms,"Megan Walker",10,2804,"Regular; VIP",0,No
"La Mona Rosa",2025-10-10,17:00,4,Completed,Phone,"Brandon Hall",2,619,"",0,No
"La Mona Rosa",2025-10-10,21:00,3,Completed,Phone,"Samantha Walker",3,1032,"",0,No
"La Mona Rosa",2025-10-10,19:30,5,Completed,SevenRooms,"Nicole Smith",2,949,"",0,No
"La Mona Rosa",2025-10-10,19:00,5,Completed,Walk-in,"Sarah Walker",10,6000,"Regular; VIP",22,No
"La Mona Rosa",2025-10-10,20:00,3,Completed,Concierge,"Michael Brown",3,1039,"",0,No
"La Mona Rosa",2025-10-10,19:00,4,Cancelled,Google,"Carlos Green",2,842,"",0,No
"La Mona Rosa",2025-10-10,21:30,5,No Show,Phone,"Travis Wright",2,914,"",0,Yes
"La Mona Rosa",2025-10-10,17:30,4,Completed,Concierge,"Ashley Clark",2,732,"",0,No
"La Mona Rosa",2025-10-10,20:00,5,Completed,Google,"Marcus Mitchell",2,930,"",0,No
"La Mona Rosa",2025-10-10,22:00,3,Completed,Phone,"Carlos Turner",9,2628,"Regular; VIP",0,No
"La Mona Rosa",2025-10-10,20:30,3,Completed,Walk-in,"Brittany Baker",1,292,"First Timer",21,No
"La Mona Rosa",2025-10-10,19:00,3,Cancelled,Google,"Jennifer Garcia",1,302,"First Timer; First Timer",0,No
"La Mona Rosa",2025-10-10,22:30,4,Completed,SevenRooms,"Travis Wilson",8,2434,"Regular; VIP",0,No
"La Mona Rosa",2025-10-10,17:30,3,No Show,Phone,"Alexis Wilson",2,698,"",0,Yes
"La Mona Rosa",2025-10-10,18:30,2,Completed,Concierge,"Marcus Davis",9,1205,"Regular",0,No
"La Mona Rosa",2025-10-10,17:00,3,Cancelled,SevenRooms,"Megan Turner",2,575,"",0,No
"La Mona Rosa",2025-10-10,22:00,2,Completed,Google,"Nicole Lewis",1,137,"First Timer",0,No
"La Mona Rosa",2025-10-10,22:00,3,Completed,Walk-in,"Derek Lewis",3,1021,"",14,No
"La Mona Rosa",2025-10-10,17:00,5,Completed,Google,"Kevin Thomas",2,1124,"",0,No
"Doberman Drawing Room",2025-10-10,19:30,4,Completed,Phone,"Michael Perez",6,3096,"Regular; VIP",0,No
"Doberman Drawing Room",2025-10-10,20:30,4,Completed,Concierge,"Amanda Turner",2,1635,"",0,No
"Doberman Drawing Room",2025-10-10,19:30,2,Completed,Concierge,"Lauren Phillips",2,515,"",0,No
"Doberman Drawing Room",2025-10-10,20:30,2,Completed,Instagram,"Amanda Johnson",10,2939,"Regular; VIP",0,No
"Doberman Drawing Room",2025-10-10,19:00,2,Completed,Concierge,"Derek Nelson",2,511,"",0,No
"Doberman Drawing Room",2025-10-10,19:30,3,Completed,Instagram,"Carlos Hill",5,3212,"VIP",0,No
"Doberman Drawing Room",2025-10-10,22:30,2,Completed,SevenRooms,"Jake Smith",10,4041,"Regular; VIP",0,No
"Doberman Drawing Room",2025-10-10,20:30,3,Completed,Instagram,"Robert King",10,6692,"Regular; VIP",0,No
"Doberman Drawing Room",2025-10-10,21:30,3,Completed,Phone,"Jessica Scott",2,777,"Date Night",0,No
"Doberman Drawing Room",2025-10-10,17:00,2,Completed,Phone,"Stephanie Thomas",2,769,"VIP",0,No
"Doberman Drawing Room",2025-10-10,18:00,4,Cancelled,Walk-in,"Ryan Carter",2,1326,"",4,No
"Doberman Drawing Room",2025-10-10,18:00,2,Completed,SevenRooms,"Stephanie Lewis",11,3463,"Regular; VIP",0,No
"Doberman Drawing Room",2025-10-10,22:30,4,Completed,Concierge,"Brittany Wright",10,6628,"Regular; VIP; Corporate",0,No
"Doberman Drawing Room",2025-10-10,20:00,2,Completed,Google,"Jennifer Clark",3,859,"",0,No
"Doberman Drawing Room",2025-10-10,23:00,3,Completed,Concierge,"Rachel Rodriguez",2,964,"",0,No
"Doberman Drawing Room",2025-10-10,20:30,4,Cancelled,Walk-in,"Stephanie Hall",3,2240,"VIP; High Roller",5,No
"Doberman Drawing Room",2025-10-10,21:30,3,Completed,Instagram,"Jennifer Wilson",10,6636,"Regular; VIP",0,No
"Doberman Drawing Room",2025-10-10,19:00,3,Completed,SevenRooms,"Carlos Lee",7,4067,"Regular; VIP",0,No
"We All Scream",2025-10-10,18:00,4,Completed,Phone,"Michael Nelson",3,834,"Date Night",0,No
"We All Scream",2025-10-10,17:00,6,Completed,Concierge,"Stephanie Brown",2,844,"",0,No
"We All Scream",2025-10-10,19:00,4,Completed,SevenRooms,"Brittany Thomas",6,1735,"Regular; Bachelor/ette",0,No
"We All Scream",2025-10-10,18:30,3,Completed,Google,"Maria Wright",3,1098,"",0,No
"We All Scream",2025-10-10,22:30,5,Completed,Google,"Megan Hall",2,964,"",0,No
"We All Scream",2025-10-10,22:30,7,Completed,Phone,"Tyler Brown",11,8311,"Regular; VIP; Regular",0,No
"We All Scream",2025-10-10,20:30,5,Completed,Concierge,"Nicole Anderson",2,833,"",0,No
"We All Scream",2025-10-10,21:00,7,Completed,Instagram,"Austin Lee",1,745,"First Timer",0,No
"We All Scream",2025-10-10,21:00,3,Completed,Instagram,"Robert Brown",11,2905,"Regular; VIP; Local",0,No
"We All Scream",2025-10-10,23:00,5,Completed,SevenRooms,"Nicole Wilson",2,1177,"",0,No
"We All Scream",2025-10-10,17:00,6,Completed,Google,"Jessica Johnson",6,4204,"Regular; VIP",0,No
"We All Scream",2025-10-10,21:30,6,Completed,Phone,"Tyler Green",2,1434,"",0,No
"We All Scream",2025-10-10,17:00,5,Completed,Google,"James Roberts",9,5387,"Regular; VIP",0,No
"We All Scream",2025-10-10,22:00,3,Completed,SevenRooms,"Marcus Roberts",7,2569,"Regular; VIP",0,No
"Discopussy",2025-10-10,19:00,5,Completed,SevenRooms,"Sarah Carter",9,5341,"Regular; VIP",0,No
"Discopussy",2025-10-10,23:30,5,Completed,Walk-in,"Kayla Walker",2,939,"",13,No
"Discopussy",2025-10-10,19:30,6,Completed,Concierge,"James Baker",12,7652,"Regular; VIP; First Timer",0,No
"Discopussy",2025-10-10,21:00,3,Completed,Google,"Jordan Wilson",9,2466,"Regular; VIP; Industry",0,No
"Discopussy",2025-10-10,23:30,6,Completed,Google,"Chase Garcia",8,5360,"Regular; VIP",0,No
"Discopussy",2025-10-10,21:00,3,Completed,Google,"Stephanie Clark",2,674,"",0,No
"Discopussy",2025-10-10,18:00,6,Completed,Concierge,"Jennifer Roberts",11,7168,"Regular; VIP; Regular",0,No
"Discopussy",2025-10-10,19:30,3,No Show,Walk-in,"Robert Thomas",2,588,"Influencer",29,Yes
"Discopussy",2025-10-10,22:00,5,Completed,SevenRooms,"Megan Young",9,3565,"Regular; VIP",0,No
"The Laundry Room",2025-10-11,18:30,3,Cancelled,Concierge,"Travis Hill",8,4650,"Regular; VIP",0,No
"The Laundry Room",2025-10-11,22:00,3,Completed,Google,"Marcus Thomas",1,428,"First Timer",0,No
"The Laundry Room",2025-10-11,19:30,3,Completed,Google,"Kayla Turner",2,956,"Date Night",0,No
"The Laundry Room",2025-10-11,20:30,3,Completed,Concierge,"Ryan Hall",3,1651,"",0,No
"The Laundry Room",2025-10-11,18:00,3,Completed,Instagram,"Alexis Turner",1,582,"First Timer",0,No
"The Laundry Room",2025-10-11,21:30,3,Completed,Phone,"Derek Scott",3,1697,"",0,No
"The Laundry Room",2025-10-11,17:30,3,No Show,Phone,"Marcus Nelson",3,1762,"Bachelor/ette",0,Yes
"The Laundry Room",2025-10-11,22:30,3,Completed,SevenRooms,"Vanessa Smith",2,1218,"",0,No
"The Laundry Room",2025-10-11,18:30,2,Completed,Google,"Kayla Perez",3,935,"",0,No
"The Laundry Room",2025-10-11,18:00,3,Cancelled,SevenRooms,"Megan Thomas",1,657,"First Timer",0,No
"The Laundry Room",2025-10-11,20:30,3,No Show,Google,"Jessica Baker",3,1875,"",0,Yes
"Commonwealth",2025-10-11,23:00,4,Completed,SevenRooms,"Michael Walker",12,3475,"Regular; VIP",0,No
"Commonwealth",2025-10-11,20:00,3,Completed,Instagram,"Jordan Hall",3,831,"",0,No
"Commonwealth",2025-10-11,17:00,5,Completed,Google,"Vanessa Young",2,925,"",0,No
"Commonwealth",2025-10-11,21:30,4,Completed,Instagram,"Vanessa Turner",2,904,"First Timer",0,No
"Commonwealth",2025-10-11,23:30,4,Completed,Walk-in,"Kevin Clark",1,328,"First Timer; First Timer",19,No
"Commonwealth",2025-10-11,19:00,4,No Show,Phone,"Ryan Roberts",2,801,"",0,Yes
"Commonwealth",2025-10-11,17:30,3,Completed,Concierge,"Rachel Young",10,3493,"Regular; VIP",0,No
"Commonwealth",2025-10-11,19:00,5,Completed,Instagram,"Ryan Davis",2,748,"",0,No
"Commonwealth",2025-10-11,22:30,5,Completed,Instagram,"Travis Martinez",10,4302,"Regular; VIP",0,No
"Commonwealth",2025-10-11,20:00,4,Completed,Phone,"Nicole Turner",3,1457,"",0,No
"Commonwealth",2025-10-11,20:30,5,Completed,SevenRooms,"Kayla Martinez",3,1074,"",0,No
"Commonwealth",2025-10-11,23:30,4,Completed,Instagram,"Derek Johnson",3,967,"",0,No
"Commonwealth",2025-10-11,18:00,4,Completed,Walk-in,"Kayla Turner",7,2995,"Regular; VIP",17,No
"Commonwealth",2025-10-11,22:00,5,Completed,Phone,"Alexis Roberts",9,4888,"Regular; VIP",0,No
"Commonwealth",2025-10-11,20:30,5,Completed,Google,"Jennifer Young",2,1130,"Corporate",0,No
"Commonwealth",2025-10-11,18:00,5,Cancelled,Google,"Samantha Wright",2,1235,"Corporate",0,No
"Commonwealth",2025-10-11,20:30,5,Completed,Google,"Marcus Clark",5,2388,"VIP",0,No
"Commonwealth",2025-10-11,17:00,3,Cancelled,Instagram,"Ryan Baker",2,701,"",0,No
"Commonwealth",2025-10-11,18:30,3,Completed,Walk-in,"Travis Harris",3,1066,"",18,No
"Commonwealth",2025-10-11,20:00,4,Completed,Instagram,"Maria Scott",8,2445,"Regular; VIP",0,No
"Commonwealth",2025-10-11,17:00,3,Completed,Concierge,"David Nelson",2,423,"",0,No
"Commonwealth",2025-10-11,17:30,3,Completed,SevenRooms,"Megan Turner",3,897,"",0,No
"Commonwealth",2025-10-11,20:30,5,Completed,Concierge,"Kevin Hall",2,1146,"First Timer",0,No
"Park On Fremont",2025-10-11,19:00,3,Completed,Walk-in,"Ryan Rodriguez",5,1377,"",14,No
"Park On Fremont",2025-10-11,22:00,5,Completed,Google,"Michael Green",8,2920,"Regular; VIP",0,No
"Park On Fremont",2025-10-11,22:00,3,Completed,Phone,"Samantha Hall",3,897,"Birthday",0,No
"Park On Fremont",2025-10-11,19:00,4,Completed,Google,"Carlos Roberts",2,700,"",0,No
"Park On Fremont",2025-10-11,19:00,3,Completed,Instagram,"Tyler Green",2,706,"",0,No
"Park On Fremont",2025-10-11,21:30,4,Completed,Concierge,"Megan Martinez",10,3372,"Regular; VIP",0,No
"Park On Fremont",2025-10-11,22:30,4,Completed,Instagram,"Michael Lee",3,1068,"",0,No
"Park On Fremont",2025-10-11,22:00,5,Completed,Phone,"Brandon Martinez",3,1529,"",0,No
"Park On Fremont",2025-10-11,18:00,3,No Show,Phone,"Kayla Turner",1,367,"First Timer",0,Yes
"Park On Fremont",2025-10-11,22:30,4,Cancelled,SevenRooms,"Megan Harris",1,464,"First Timer",0,No
"Park On Fremont",2025-10-11,22:00,3,Cancelled,Google,"Tyler Scott",1,225,"First Timer",0,No
"Park On Fremont",2025-10-11,17:30,2,Completed,Walk-in,"Jennifer Garcia",3,696,"",11,No
"Park On Fremont",2025-10-11,22:00,3,Completed,SevenRooms,"Sarah Young",1,202,"First Timer",0,No
"Park On Fremont",2025-10-11,17:00,5,Completed,Instagram,"Samantha Phillips",8,4398,"Regular; VIP",0,No
"Park On Fremont",2025-10-11,23:00,3,Completed,Concierge,"Travis Thomas",2,530,"",0,No
"Park On Fremont",2025-10-11,20:00,3,Completed,Google,"Jordan Hall",3,674,"",0,No
"Park On Fremont",2025-10-11,23:00,4,No Show,SevenRooms,"Amanda Scott",6,2026,"Regular; VIP",0,Yes
"Park On Fremont",2025-10-11,23:30,3,Completed,SevenRooms,"Ashley Mitchell",1,240,"First Timer",0,No
"Park On Fremont",2025-10-11,21:00,4,Completed,Instagram,"Marcus Hall",2,765,"",0,No
"Park On Fremont",2025-10-11,22:30,5,Completed,Phone,"Maria Thomas",11,6569,"Regular; VIP",0,No
"Park On Fremont",2025-10-11,20:00,5,Completed,Google,"Kayla Wright",3,1486,"",0,No
"Park On Fremont",2025-10-11,20:30,2,Completed,Walk-in,"Sarah Turner",3,706,"",19,No
"Park On Fremont",2025-10-11,22:30,3,Completed,Instagram,"Tyler Lewis",3,660,"",0,No
"Park On Fremont",2025-10-11,21:30,3,Completed,Concierge,"Alexis Green",2,604,"",0,No
"Park On Fremont",2025-10-11,21:00,4,No Show,Phone,"David Johnson",1,306,"First Timer",0,Yes
"Park On Fremont",2025-10-11,20:30,3,Completed,SevenRooms,"Kevin Hall",3,925,"",0,No
"Park On Fremont",2025-10-11,21:30,2,Completed,SevenRooms,"Samantha Walker",1,218,"First Timer",0,No
"Park On Fremont",2025-10-11,21:30,3,Completed,SevenRooms,"Michael Clark",11,3448,"Regular; VIP",0,No
"Park On Fremont",2025-10-11,22:00,4,Cancelled,Concierge,"Vanessa Baker",2,756,"",0,No
"Park On Fremont",2025-10-11,22:30,4,Cancelled,Instagram,"Jennifer Garcia",2,704,"",0,No
"Park On Fremont",2025-10-11,18:00,3,No Show,Walk-in,"Ryan Scott",12,3071,"Regular; VIP",24,Yes
"Park On Fremont",2025-10-11,22:00,4,Completed,Instagram,"Jessica Anderson",2,673,"",0,No
"Park On Fremont",2025-10-11,19:00,2,Completed,SevenRooms,"Michael King",10,1380,"Regular",0,No
"Park On Fremont",2025-10-11,20:30,4,Completed,Google,"Ashley Baker",9,2770,"Regular; VIP",0,No
"Park On Fremont",2025-10-11,19:30,4,Completed,Instagram,"Austin Nelson",3,819,"",0,No
"Park On Fremont",2025-10-11,20:00,3,Completed,Phone,"James Baker",2,720,"",0,No
"La Mona Rosa",2025-10-11,20:30,4,Cancelled,Concierge,"Brandon Carter",7,2004,"Regular; VIP",0,No
"La Mona Rosa",2025-10-11,22:00,3,Completed,Google,"Sarah Brown",7,1522,"Regular",0,No
"La Mona Rosa",2025-10-11,20:30,4,Completed,Phone,"Nicole Perez",3,1261,"",0,No
"La Mona Rosa",2025-10-11,20:00,3,Completed,Concierge,"Maria Hall",3,654,"",0,No
"La Mona Rosa",2025-10-11,19:00,4,Completed,Phone,"Vanessa Hall",2,645,"",0,No
"La Mona Rosa",2025-10-11,17:30,5,Completed,Walk-in,"Jake Phillips",2,965,"",17,No
"La Mona Rosa",2025-10-11,19:30,3,Completed,Google,"David Robinson",3,662,"",0,No
"La Mona Rosa",2025-10-11,23:30,4,Completed,Instagram,"Amanda Johnson",1,332,"First Timer",0,No
"La Mona Rosa",2025-10-11,18:30,5,Completed,SevenRooms,"Marcus Anderson",2,853,"",0,No
"La Mona Rosa",2025-10-11,21:30,3,Completed,Phone,"Jordan Nelson",2,711,"",0,No
"La Mona Rosa",2025-10-11,17:00,5,Completed,Concierge,"Marcus Robinson",8,3562,"Regular; VIP",0,No
"La Mona Rosa",2025-10-11,20:30,5,Completed,Phone,"Amanda Baker",2,824,"",0,No
"La Mona Rosa",2025-10-11,21:30,5,Completed,Instagram,"Ashley Mitchell",2,1162,"",0,No
"La Mona Rosa",2025-10-11,17:00,2,Completed,SevenRooms,"Maria Turner",5,696,"",0,No
"La Mona Rosa",2025-10-11,18:30,5,Cancelled,Google,"Tyler Baker",3,1472,"",0,No
"La Mona Rosa",2025-10-11,17:30,2,Completed,Google,"Chase Roberts",2,395,"",0,No
"La Mona Rosa",2025-10-11,20:00,2,Completed,Instagram,"Ryan Lee",2,377,"High Roller",0,No
"La Mona Rosa",2025-10-11,19:30,5,Completed,Instagram,"Maria Johnson",2,877,"",0,No
"La Mona Rosa",2025-10-11,22:30,4,Completed,Google,"Robert Johnson",2,727,"",0,No
"La Mona Rosa",2025-10-11,19:00,5,Completed,Concierge,"Ashley Brown",1,578,"First Timer",0,No
"La Mona Rosa",2025-10-11,19:30,5,Completed,Walk-in,"Jordan Carter",2,1021,"",21,No
